Address,Balance
5GX2EM73Xm441NFuFZcDfvKUhxCb9uWpc2eHSJamRbJnarWy,8717364000000000
5FvrQ11icGzfC1U6XmH8QFfZ6Cqtp2Z5cmhYjWBNc34iEaN9,474866000000000
5HJy25YrXRQ7kYFL9K6ZX2xsuQfv7fww8C6PDs3guiEZnPmy,105048000000000
5DLB96CJ62oWhfUiLNN36tM9KmpU789dW5qRzCB3PTg2VBYD,4588000000000
5FyRf5uYv3BGof4Fvtbe6Hz2dy8DDwBK3YP4SLfgVT3MUA4s,21155850000000000
5CJXwQXYDvR4tW7tmgwYkZaLmb3vGbMpCjsdLDvdxx3XF8HD,158288000000000
5HpPz9GjNYYTPVSHtGdhKtzyXn8zaxnWybeNKYoDPgrAUYtQ,54873000000000
5CVR1VjfLtbdCLxVirsH8Q5MK86sAxUz2sGQn4kXx24fRx7J,1853586000000000
5DLZrtfPv8eNhDxWfKo6NHMpCZk5Q2HHDwCKm8bpdDvcYLQ7,5413483000000000
5DZJ6SRxrCu639ga78JrwGp2KuPkT4Y3tjCs6nYBP1DQCsFJ,106634000000000
5E4Sc6aipNBWNLGVQGgHBg2dBTeypy9FoorypzawF9XrBoA9,73868000000000
5CZYvpppKAH41NcBUJgxk2ALWNs4H4SidhjN8ureQTLc9NFg,3165779000000000
5FFJwaGpY17S4ypPLgEyystvPV4xB99rkMZqE8z6Gk13vKAN,147377000000000
5HopfM7UQS1MxDbgaxtTzfRhsDvp88Lznj4EiXkPnsrGgen2,316623000000000
5EyhS7M26zN1XsWFRKxjerKc8uswdLJFcznnNo27YngDQBt5,74694000000000
5EX3DaEZTsXGJJGXLmCNSpi2MYzDQNhpv4CHQsyqAsTus1fX,211051000000000
5GTJ2wxF5fMdcKAgHF19pNCSZJ3RdubkvHRwadj5dr5V3Meu,30391000000000
5DTj5mLBJyzazsE6qunehuC2MsZTzrY8q3X6syG8Jcs6vtNE,514306000000000
5CyXUWNUnsgxhQLnKZfj5UGD21yu4F2StMKEm7iPWvanAD6v,201132000000000
5Fdvs2pT9Zy3BBasHSCtKwUE8ksu5BgoHTHknyWXS3saRYVY,302813000000000
5GguW3gM6mZ9vdTfV4MbaYbrHGieP2r7ZksqaP71HxutDqUu,1192443000000000
5EKy3GgUNfbRFw9oTeXyTCvUh8JUTX9XYjyMmxyKWJUyWoMP,63210000000000
5CQ5NA797aHQ25sDStJR3gpSG8w5D4gp14c2sUFbsnegC2VW,5206957000000000
5DgEamtNwmkJJF9YnfdcT31bUsAbD5qjEQfQC32s7p5VntnU,642561000000000
5C5frup5zqizAsA4ncWURtqkoY8cS6mB4M4dP8Zb4R2DWLYb,105525000000000
5DpzVepFx9ySNus82cSwyHyakJg7uKYiRiGo54MRpFEqKMps,257627000000000
5Fkah7Udf7RaFxUGYhfYXc9Ezkbu21o3wXqotuzy2QPMojfs,67536000000000
5EsmwQA2fLaxHt1CjsKswPHX7YxsiK2XcUQv2imMRPWYya88,118693000000000
5D7NsWyHvB1KY73MDi9YSmaaKuJgnoVsX3uaymHzecAAK7Uz,28961000000000
5C5CHDNR2mgsy48eopGp1BcZ29EYM5dxMBNEAe5VpX4cPjKY,825000000000
5FCutkHRUoBeCtgboeixp318Kcza9ho6sdKc18TKkpiN87gt,27528000000000
5DGYSRc7t8CLKvGGtt8nmGiLX9ubZd44MwTkmfB1quBMb7Av,183523000000000
5DLTNy9G7BA9gHeNLVjReTU8C2emiqpA3utNx8K7CQVo1cSD,27528000000000
